======================================================================
Run 1/1  |  size=M  split=100%
Config : config/train_shakespeare_char_M.py
Out dir: out-shakespeare-M-split100
Log    : logs\train_M_split100.log
======================================================================
Command: C:\Code\_projects\nanoGPT-nlp\.venv\Scripts\python.exe train.py config/train_shakespeare_char_M.py --train_file=train_100.bin --out_dir=out-shakespeare-M-split100 --wandb_run_name=M-split100

C:\Code\_projects\nlp\nanoGPT\train.py:198: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with config/train_shakespeare_char_M.py:
# Baseline configuration
out_dir = 'out-shakespeare-M'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'baseline'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = False  # torch.compile needs Triton (Linux); on Windows leave False

Overriding: train_file = train_100.bin
Overriding: out_dir = out-shakespeare-M-split100
Overriding: wandb_run_name = M-split100
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2685, time 11962.45ms, mfu -100.00%
iter 10: loss 3.1468, time 94.65ms, mfu 3.94%
iter 20: loss 2.7312, time 93.96ms, mfu 3.94%
iter 30: loss 2.6211, time 91.49ms, mfu 3.95%
iter 40: loss 2.5699, time 93.89ms, mfu 3.95%
iter 50: loss 2.5245, time 92.55ms, mfu 3.96%
iter 60: loss 2.5108, time 94.21ms, mfu 3.96%
iter 70: loss 2.4992, time 90.85ms, mfu 3.98%
iter 80: loss 2.4942, time 93.39ms, mfu 3.98%
iter 90: loss 2.4658, time 92.97ms, mfu 3.98%
iter 100: loss 2.4639, time 93.89ms, mfu 3.98%
iter 110: loss 2.4581, time 93.72ms, mfu 3.98%
iter 120: loss 2.4265, time 78.67ms, mfu 4.05%
iter 130: loss 2.4111, time 94.88ms, mfu 4.04%
iter 140: loss 2.4161, time 95.26ms, mfu 4.03%
iter 150: loss 2.4152, time 94.63ms, mfu 4.02%
iter 160: loss 2.3790, time 94.61ms, mfu 4.01%
iter 170: loss 2.3541, time 93.82ms, mfu 4.01%
iter 180: loss 2.3046, time 93.43ms, mfu 4.01%
iter 190: loss 2.2455, time 95.42ms, mfu 4.00%
iter 200: loss 2.2212, time 92.79ms, mfu 4.00%
iter 210: loss 2.1518, time 91.21ms, mfu 4.01%
iter 220: loss 2.1417, time 94.20ms, mfu 4.00%
iter 230: loss 2.0731, time 92.83ms, mfu 4.00%
