======================================================================
Run 1/1  |  size=S  split=100%
Config : config/train_shakespeare_char_S.py
Out dir: out-shakespeare-S-split100
Log    : logs\train_S_split100.log
======================================================================
Command: C:\Code\_projects\nanoGPT-nlp\.venv\Scripts\python.exe train.py config/train_shakespeare_char_S.py --train_file=train_100.bin --out_dir=out-shakespeare-S-split100 --wandb_run_name=S-split100

C:\Code\_projects\nlp\nanoGPT\train.py:198: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with config/train_shakespeare_char_S.py:
# Baseline configuration
out_dir = 'out-shakespeare-S'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'baseline'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 4
n_head = 4
n_embd = 128
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = False  # torch.compile needs Triton (Linux); on Windows leave False

Overriding: train_file = train_100.bin
Overriding: out_dir = out-shakespeare-S-split100
Overriding: wandb_run_name = S-split100
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 827,520 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
step 0: train loss 4.1913, val loss 4.1903
iter 0: loss 4.1938, time 3175.56ms, mfu -100.00%
iter 10: loss 3.7796, time 14.94ms, mfu 2.23%
iter 20: loss 3.5773, time 17.87ms, mfu 2.19%
iter 30: loss 3.2936, time 9.33ms, mfu 2.33%
iter 40: loss 3.0590, time 9.66ms, mfu 2.44%
iter 50: loss 2.8693, time 24.49ms, mfu 2.34%
iter 60: loss 2.7569, time 9.22ms, mfu 2.46%
iter 70: loss 2.6921, time 20.73ms, mfu 2.38%
iter 80: loss 2.6413, time 15.56ms, mfu 2.35%
iter 90: loss 2.5977, time 9.84ms, mfu 2.46%
iter 100: loss 2.5822, time 11.94ms, mfu 2.49%
iter 110: loss 2.5416, time 9.12ms, mfu 2.61%
iter 120: loss 2.5447, time 14.93ms, mfu 2.57%
iter 130: loss 2.5220, time 22.68ms, mfu 2.46%
iter 140: loss 2.5092, time 17.32ms, mfu 2.41%
iter 150: loss 2.5254, time 10.06ms, mfu 2.50%
iter 160: loss 2.5135, time 22.92ms, mfu 2.39%
iter 170: loss 2.4989, time 15.47ms, mfu 2.37%
iter 180: loss 2.4981, time 9.38ms, mfu 2.49%
iter 190: loss 2.4654, time 21.56ms, mfu 2.39%
iter 200: loss 2.4720, time 19.50ms, mfu 2.33%
iter 210: loss 2.4807, time 11.31ms, mfu 2.39%
iter 220: loss 2.4661, time 19.66ms, mfu 2.32%
iter 230: loss 2.4677, time 15.93ms, mfu 2.30%
iter 240: loss 2.4682, time 19.61ms, mfu 2.24%
step 250: train loss 2.4294, val loss 2.4357
saving checkpoint to out-shakespeare-S-split100
iter 250: loss 2.4552, time 2727.78ms, mfu 2.01%
iter 260: loss 2.4420, time 15.85ms, mfu 2.02%
iter 270: loss 2.4280, time 17.86ms, mfu 2.01%
iter 280: loss 2.4385, time 9.36ms, mfu 2.16%
iter 290: loss 2.4242, time 9.79ms, mfu 2.29%
iter 300: loss 2.4035, time 15.41ms, mfu 2.27%
iter 310: loss 2.4122, time 9.55ms, mfu 2.40%
iter 320: loss 2.3740, time 22.33ms, mfu 2.31%
iter 330: loss 2.4064, time 9.66ms, mfu 2.42%
iter 340: loss 2.3990, time 9.25ms, mfu 2.54%
iter 350: loss 2.3954, time 22.52ms, mfu 2.43%
iter 360: loss 2.3949, time 16.23ms, mfu 2.39%
iter 370: loss 2.3724, time 9.14ms, mfu 2.52%
iter 380: loss 2.3542, time 12.50ms, mfu 2.53%
iter 390: loss 2.3418, time 9.36ms, mfu 2.64%
iter 400: loss 2.3449, time 9.53ms, mfu 2.72%
iter 410: loss 2.3439, time 9.19ms, mfu 2.81%
iter 420: loss 2.3183, time 13.86ms, mfu 2.77%
