======================================================================
Run 1/16  |  size=XS  split=10%
Config : config/train_shakespeare_char_XS.py
Out dir: out-shakespeare-XS-split10
Log    : logs/train_XS_split10.log
======================================================================
Command: /home/nico/uni/jupyter/Advanced NLP/.venv/bin/python train.py config/train_shakespeare_char_XS.py --train_file=train_10.bin --out_dir=out-shakespeare-XS-split10 --wandb_run_name=XS-split10

/home/nico/uni/jupyter/Advanced NLP/nanoGPT/train.py:198: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
W0411 10:18:37.848000 18548 torch/_inductor/utils.py:1731] [0/0] Not enough SMs to use max_autotune_gemm mode
Overriding config with config/train_shakespeare_char_XS.py:
# Baseline configuration
out_dir = 'out-shakespeare-XS'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'baseline'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 2
n_head = 2
n_embd = 64
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = True # set True only on Linux with GPU

Overriding: train_file = train_10.bin
Overriding: out_dir = out-shakespeare-XS-split10
Overriding: wandb_run_name = XS-split10
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.10M
num decayed parameter tensors: 10, with 118,848 parameters
num non-decayed parameter tensors: 5, with 320 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.1901, val loss 4.1903
iter 0: loss 4.1920, time 9060.92ms, mfu -100.00%
iter 10: loss 4.1104, time 2.64ms, mfu 2.01%
iter 20: loss 3.8896, time 2.75ms, mfu 2.00%
iter 30: loss 3.7518, time 2.77ms, mfu 1.99%
iter 40: loss 3.6021, time 2.78ms, mfu 1.98%
iter 50: loss 3.4179, time 2.77ms, mfu 1.97%
iter 60: loss 3.2281, time 2.73ms, mfu 1.97%
iter 70: loss 3.0981, time 2.53ms, mfu 1.98%
iter 80: loss 2.9895, time 2.56ms, mfu 1.99%
iter 90: loss 2.8655, time 2.65ms, mfu 1.99%
iter 100: loss 2.7822, time 2.76ms, mfu 1.99%
iter 110: loss 2.6983, time 2.75ms, mfu 1.98%
iter 120: loss 2.6622, time 2.77ms, mfu 1.97%
iter 130: loss 2.6217, time 2.74ms, mfu 1.97%
iter 140: loss 2.5833, time 2.68ms, mfu 1.97%
iter 150: loss 2.5573, time 2.74ms, mfu 1.97%
iter 160: loss 2.5589, time 2.78ms, mfu 1.96%
iter 170: loss 2.5305, time 2.76ms, mfu 1.96%
iter 180: loss 2.5171, time 2.76ms, mfu 1.95%
iter 190: loss 2.4878, time 2.73ms, mfu 1.95%
iter 200: loss 2.4857, time 2.64ms, mfu 1.96%
iter 210: loss 2.4994, time 2.74ms, mfu 1.96%
iter 220: loss 2.4788, time 2.77ms, mfu 1.95%
iter 230: loss 2.4684, time 2.78ms, mfu 1.95%
iter 240: loss 2.4418, time 2.72ms, mfu 1.95%
step 250: train loss 2.4238, val loss 2.6077
saving checkpoint to out-shakespeare-XS-split10
iter 250: loss 2.4473, time 542.94ms, mfu 1.75%
iter 260: loss 2.4516, time 2.74ms, mfu 1.77%
iter 270: loss 2.4616, time 2.84ms, mfu 1.78%
iter 280: loss 2.4546, time 2.74ms, mfu 1.80%
iter 290: loss 2.4519, time 2.69ms, mfu 1.81%
iter 300: loss 2.4199, time 2.61ms, mfu 1.84%
iter 310: loss 2.4590, time 2.77ms, mfu 1.84%
iter 320: loss 2.4147, time 2.78ms, mfu 1.85%
iter 330: loss 2.4291, time 2.61ms, mfu 1.87%
iter 340: loss 2.4184, time 2.79ms, mfu 1.87%
iter 350: loss 2.4482, time 2.79ms, mfu 1.87%
iter 360: loss 2.4089, time 2.63ms, mfu 1.89%
iter 370: loss 2.4036, time 2.64ms, mfu 1.90%
iter 380: loss 2.4345, time 2.70ms, mfu 1.91%
iter 390: loss 2.4075, time 2.78ms, mfu 1.91%
iter 400: loss 2.4372, time 2.79ms, mfu 1.91%
iter 410: loss 2.3739, time 2.61ms, mfu 1.92%
iter 420: loss 2.3786, time 2.78ms, mfu 1.92%
iter 430: loss 2.4276, time 2.68ms, mfu 1.92%
iter 440: loss 2.3962, time 2.58ms, mfu 1.94%
iter 450: loss 2.3649, time 2.75ms, mfu 1.94%
iter 460: loss 2.3915, time 2.77ms, mfu 1.93%
iter 470: loss 2.3997, time 2.72ms, mfu 1.94%
iter 480: loss 2.3520, time 2.74ms, mfu 1.94%
iter 490: loss 2.3787, time 2.73ms, mfu 1.94%
step 500: train loss 2.3276, val loss 2.6002
saving checkpoint to out-shakespeare-XS-split10
iter 500: loss 2.3879, time 554.67ms, mfu 1.74%
iter 510: loss 2.3879, time 2.59ms, mfu 1.77%
iter 520: loss 2.3677, time 2.90ms, mfu 1.78%
iter 530: loss 2.3736, time 2.58ms, mfu 1.81%
iter 540: loss 2.3874, time 2.73ms, mfu 1.82%
iter 550: loss 2.3732, time 2.64ms, mfu 1.84%
iter 560: loss 2.3739, time 2.77ms, mfu 1.85%
iter 570: loss 2.3710, time 2.70ms, mfu 1.86%
iter 580: loss 2.3777, time 2.79ms, mfu 1.86%
iter 590: loss 2.3639, time 2.77ms, mfu 1.87%
iter 600: loss 2.3411, time 2.61ms, mfu 1.88%
iter 610: loss 2.3663, time 2.62ms, mfu 1.90%
iter 620: loss 2.3588, time 2.77ms, mfu 1.90%
iter 630: loss 2.3492, time 2.74ms, mfu 1.90%
iter 640: loss 2.3299, time 2.64ms, mfu 1.91%
iter 650: loss 2.3510, time 2.61ms, mfu 1.93%
iter 660: loss 2.3410, time 2.69ms, mfu 1.93%
iter 670: loss 2.3732, time 3.09ms, mfu 1.91%
iter 680: loss 2.3163, time 2.76ms, mfu 1.91%
iter 690: loss 2.3384, time 2.63ms, mfu 1.92%
iter 700: loss 2.3489, time 2.75ms, mfu 1.92%
iter 710: loss 2.3317, time 2.77ms, mfu 1.92%
iter 720: loss 2.3229, time 2.89ms, mfu 1.91%
iter 730: loss 2.3081, time 2.58ms, mfu 1.93%
iter 740: loss 2.3253, time 2.73ms, mfu 1.93%
step 750: train loss 2.2360, val loss 2.5955
saving checkpoint to out-shakespeare-XS-split10
iter 750: loss 2.3255, time 548.93ms, mfu 1.74%
iter 760: loss 2.2784, time 2.76ms, mfu 1.75%
iter 770: loss 2.3230, time 2.80ms, mfu 1.77%
iter 780: loss 2.3010, time 2.63ms, mfu 1.79%
iter 790: loss 2.3097, time 2.76ms, mfu 1.81%
iter 800: loss 2.3044, time 2.64ms, mfu 1.83%
iter 810: loss 2.2974, time 2.74ms, mfu 1.84%
iter 820: loss 2.2716, time 2.85ms, mfu 1.84%
iter 830: loss 2.2877, time 2.78ms, mfu 1.85%
iter 840: loss 2.2999, time 2.64ms, mfu 1.86%
iter 850: loss 2.3114, time 2.74ms, mfu 1.87%
iter 860: loss 2.2992, time 2.77ms, mfu 1.87%
iter 870: loss 2.2723, time 2.80ms, mfu 1.88%
iter 880: loss 2.2863, time 2.64ms, mfu 1.89%
iter 890: loss 2.2637, time 2.74ms, mfu 1.89%
iter 900: loss 2.2809, time 2.81ms, mfu 1.89%
iter 910: loss 2.2667, time 2.58ms, mfu 1.91%
iter 920: loss 2.2635, time 2.73ms, mfu 1.91%
iter 930: loss 2.3016, time 2.85ms, mfu 1.91%
iter 940: loss 2.2734, time 2.77ms, mfu 1.91%
iter 950: loss 2.2907, time 2.78ms, mfu 1.91%
iter 960: loss 2.2969, time 2.78ms, mfu 1.91%
iter 970: loss 2.2829, time 2.77ms, mfu 1.91%
iter 980: loss 2.2441, time 2.58ms, mfu 1.92%
iter 990: loss 2.2775, time 2.73ms, mfu 1.93%
step 1000: train loss 2.1640, val loss 2.5680
saving checkpoint to out-shakespeare-XS-split10
iter 1000: loss 2.2795, time 547.90ms, mfu 1.73%
iter 1010: loss 2.2370, time 2.75ms, mfu 1.75%
iter 1020: loss 2.2746, time 2.71ms, mfu 1.77%
iter 1030: loss 2.2694, time 2.81ms, mfu 1.78%
iter 1040: loss 2.2884, time 2.81ms, mfu 1.79%
iter 1050: loss 2.2801, time 2.68ms, mfu 1.81%
iter 1060: loss 2.2576, time 2.62ms, mfu 1.83%
iter 1070: loss 2.2517, time 2.72ms, mfu 1.85%
iter 1080: loss 2.2476, time 2.80ms, mfu 1.85%
iter 1090: loss 2.2488, time 2.76ms, mfu 1.86%
iter 1100: loss 2.2704, time 2.64ms, mfu 1.87%
iter 1110: loss 2.2721, time 2.76ms, mfu 1.88%
iter 1120: loss 2.2712, time 2.63ms, mfu 1.89%
iter 1130: loss 2.2474, time 2.75ms, mfu 1.90%
