======================================================================
Run 4/16  |  size=XS  split=100%
Config : config/train_shakespeare_char_XS.py
Out dir: out-shakespeare-XS-split100
Log    : logs/train_XS_split100.log
======================================================================
Command: /home/nico/uni/jupyter/Advanced NLP/.venv/bin/python train.py config/train_shakespeare_char_XS.py --train_file=train_100.bin --out_dir=out-shakespeare-XS-split100 --wandb_run_name=XS-split100

/home/nico/uni/jupyter/Advanced NLP/nanoGPT/train.py:198: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with config/train_shakespeare_char_XS.py:
# Baseline configuration
out_dir = 'out-shakespeare-XS'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'baseline'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 2
n_head = 2
n_embd = 64
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = True # set True only on Linux with GPU

Overriding: train_file = train_100.bin
Overriding: out_dir = out-shakespeare-XS-split100
Overriding: wandb_run_name = XS-split100
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.10M
num decayed parameter tensors: 10, with 118,848 parameters
num non-decayed parameter tensors: 5, with 320 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.1905, val loss 4.1903
iter 0: loss 4.1884, time 1509.92ms, mfu -100.00%
iter 10: loss 4.1120, time 2.67ms, mfu 1.99%
iter 20: loss 3.8880, time 2.98ms, mfu 1.97%
iter 30: loss 3.7501, time 2.68ms, mfu 1.97%
iter 40: loss 3.5915, time 3.24ms, mfu 1.93%
iter 50: loss 3.4473, time 2.72ms, mfu 1.94%
iter 60: loss 3.2871, time 2.93ms, mfu 1.92%
iter 70: loss 3.1347, time 3.16ms, mfu 1.90%
iter 80: loss 3.0255, time 2.80ms, mfu 1.90%
iter 90: loss 2.9234, time 2.75ms, mfu 1.90%
iter 100: loss 2.8306, time 2.72ms, mfu 1.91%
iter 110: loss 2.7793, time 2.72ms, mfu 1.91%
iter 120: loss 2.7247, time 2.77ms, mfu 1.91%
iter 130: loss 2.6933, time 2.64ms, mfu 1.92%
iter 140: loss 2.6751, time 2.75ms, mfu 1.92%
iter 150: loss 2.6548, time 2.84ms, mfu 1.92%
iter 160: loss 2.6261, time 2.87ms, mfu 1.91%
iter 170: loss 2.6136, time 2.96ms, mfu 1.90%
iter 180: loss 2.6189, time 2.88ms, mfu 1.89%
iter 190: loss 2.6025, time 2.86ms, mfu 1.89%
iter 200: loss 2.5793, time 2.80ms, mfu 1.89%
iter 210: loss 2.5857, time 2.85ms, mfu 1.89%
iter 220: loss 2.5574, time 2.71ms, mfu 1.89%
iter 230: loss 2.5387, time 2.85ms, mfu 1.89%
iter 240: loss 2.5460, time 2.81ms, mfu 1.89%
step 250: train loss 2.5142, val loss 2.5219
saving checkpoint to out-shakespeare-XS-split100
iter 250: loss 2.5460, time 564.74ms, mfu 1.70%
iter 260: loss 2.5272, time 2.88ms, mfu 1.72%
iter 270: loss 2.5500, time 2.73ms, mfu 1.74%
iter 280: loss 2.5505, time 2.85ms, mfu 1.75%
iter 290: loss 2.5110, time 2.90ms, mfu 1.76%
iter 300: loss 2.5352, time 2.84ms, mfu 1.77%
iter 310: loss 2.5201, time 2.86ms, mfu 1.78%
iter 320: loss 2.4978, time 2.88ms, mfu 1.78%
iter 330: loss 2.5082, time 2.87ms, mfu 1.79%
iter 340: loss 2.5211, time 2.90ms, mfu 1.79%
iter 350: loss 2.5124, time 2.86ms, mfu 1.80%
iter 360: loss 2.5359, time 2.74ms, mfu 1.81%
iter 370: loss 2.5132, time 2.97ms, mfu 1.81%
iter 380: loss 2.4834, time 2.74ms, mfu 1.82%
iter 390: loss 2.4867, time 2.87ms, mfu 1.83%
iter 400: loss 2.4901, time 2.84ms, mfu 1.83%
iter 410: loss 2.5151, time 2.83ms, mfu 1.83%
iter 420: loss 2.4957, time 2.85ms, mfu 1.84%
iter 430: loss 2.4912, time 2.83ms, mfu 1.84%
iter 440: loss 2.4992, time 2.99ms, mfu 1.83%
iter 450: loss 2.4988, time 2.87ms, mfu 1.84%
iter 460: loss 2.4922, time 2.86ms, mfu 1.84%
iter 470: loss 2.4808, time 2.87ms, mfu 1.84%
iter 480: loss 2.4812, time 2.82ms, mfu 1.84%
iter 490: loss 2.4872, time 2.88ms, mfu 1.84%
step 500: train loss 2.4426, val loss 2.4500
saving checkpoint to out-shakespeare-XS-split100
iter 500: loss 2.4725, time 572.78ms, mfu 1.66%
iter 510: loss 2.4818, time 2.90ms, mfu 1.68%
iter 520: loss 2.4733, time 2.88ms, mfu 1.69%
iter 530: loss 2.4907, time 2.86ms, mfu 1.71%
iter 540: loss 2.4527, time 2.87ms, mfu 1.72%
iter 550: loss 2.4850, time 2.74ms, mfu 1.74%
iter 560: loss 2.4377, time 2.88ms, mfu 1.75%
iter 570: loss 2.4730, time 2.74ms, mfu 1.77%
iter 580: loss 2.4667, time 2.94ms, mfu 1.77%
iter 590: loss 2.4876, time 2.88ms, mfu 1.78%
iter 600: loss 2.4944, time 2.87ms, mfu 1.79%
iter 610: loss 2.4796, time 2.86ms, mfu 1.79%
iter 620: loss 2.4562, time 2.82ms, mfu 1.80%
iter 630: loss 2.4594, time 2.86ms, mfu 1.81%
iter 640: loss 2.4467, time 2.88ms, mfu 1.81%
iter 650: loss 2.4560, time 2.70ms, mfu 1.83%
iter 660: loss 2.4457, time 2.92ms, mfu 1.83%
iter 670: loss 2.4675, time 2.87ms, mfu 1.83%
iter 680: loss 2.4518, time 2.86ms, mfu 1.83%
iter 690: loss 2.4314, time 2.81ms, mfu 1.84%
iter 700: loss 2.4658, time 2.86ms, mfu 1.84%
iter 710: loss 2.4482, time 2.78ms, mfu 1.84%
iter 720: loss 2.4343, time 2.94ms, mfu 1.84%
iter 730: loss 2.4317, time 2.90ms, mfu 1.84%
iter 740: loss 2.4507, time 2.83ms, mfu 1.84%
step 750: train loss 2.3900, val loss 2.4046
saving checkpoint to out-shakespeare-XS-split100
iter 750: loss 2.4266, time 566.80ms, mfu 1.66%
iter 760: loss 2.4436, time 2.88ms, mfu 1.68%
iter 770: loss 2.4310, time 2.87ms, mfu 1.70%
iter 780: loss 2.4283, time 2.73ms, mfu 1.72%
iter 790: loss 2.4315, time 2.76ms, mfu 1.74%
iter 800: loss 2.4585, time 2.51ms, mfu 1.78%
iter 810: loss 2.4443, time 2.54ms, mfu 1.81%
iter 820: loss 2.4132, time 2.54ms, mfu 1.84%
iter 830: loss 2.4185, time 2.52ms, mfu 1.86%
iter 840: loss 2.4453, time 2.56ms, mfu 1.88%
iter 850: loss 2.4200, time 2.52ms, mfu 1.91%
iter 860: loss 2.4020, time 2.52ms, mfu 1.93%
iter 870: loss 2.4241, time 2.53ms, mfu 1.94%
iter 880: loss 2.4194, time 2.52ms, mfu 1.96%
iter 890: loss 2.4255, time 2.54ms, mfu 1.97%
iter 900: loss 2.4156, time 2.53ms, mfu 1.98%
iter 910: loss 2.4164, time 2.55ms, mfu 1.99%
iter 920: loss 2.4141, time 2.54ms, mfu 2.00%
iter 930: loss 2.4057, time 2.52ms, mfu 2.01%
iter 940: loss 2.4047, time 2.53ms, mfu 2.02%
iter 950: loss 2.4214, time 2.53ms, mfu 2.03%
iter 960: loss 2.4191, time 2.52ms, mfu 2.04%
iter 970: loss 2.3900, time 2.53ms, mfu 2.04%
iter 980: loss 2.3847, time 2.51ms, mfu 2.05%
iter 990: loss 2.3763, time 2.52ms, mfu 2.05%
step 1000: train loss 2.3195, val loss 2.3468
saving checkpoint to out-shakespeare-XS-split100
iter 1000: loss 2.4005, time 564.98ms, mfu 1.85%
iter 1010: loss 2.4192, time 2.53ms, mfu 1.87%
iter 1020: loss 2.4009, time 2.55ms, mfu 1.89%
iter 1030: loss 2.3892, time 2.53ms, mfu 1.91%
iter 1040: loss 2.4002, time 2.55ms, mfu 1.93%
iter 1050: loss 2.3794, time 2.53ms, mfu 1.95%
iter 1060: loss 2.3903, time 2.53ms, mfu 1.96%
iter 1070: loss 2.4219, time 2.54ms, mfu 1.97%
iter 1080: loss 2.4118, time 2.53ms, mfu 1.99%
iter 1090: loss 2.4033, time 2.54ms, mfu 2.00%
iter 1100: loss 2.3831, time 2.55ms, mfu 2.01%
iter 1110: loss 2.3839, time 2.52ms, mfu 2.02%
iter 1120: loss 2.3979, time 2.55ms, mfu 2.02%
iter 1130: loss 2.3805, time 2.54ms, mfu 2.03%
iter 1140: loss 2.3893, time 2.55ms, mfu 2.03%
iter 1150: loss 2.3724, time 2.54ms, mfu 2.04%
